school_name,lng_wgs84,lat_wgs84
科尔沁艺术职业学院,122.2184703,43.62840844
内蒙古交通职业技术学院,118.8859615,42.27022544
包头钢铁职业技术学院,109.8286833,40.62360216
乌海职业技术学院,106.7944072,39.64916305
内蒙古科技职业学院,111.7999838,40.85511866
内蒙古北方职业技术学院,111.835932,40.89601785
赤峰职业技术学院,118.8672006,42.27120592
内蒙古经贸外语职业学院,111.6877697,40.89368464
包头铁道职业技术学院,109.9964686,40.65368376
乌兰察布医学高等专科学校,113.1620179,40.98103819
鄂尔多斯职业学院,109.8190258,39.61556659
内蒙古工业职业学院,111.6588761,40.81074529
呼伦贝尔职业技术学院,119.7358945,49.17541619
满洲里俄语职业学院,117.4069968,49.6071168
内蒙古能源职业学院,111.7625138,40.90247178
赤峰工业职业技术学院,118.8672006,42.27120592
阿拉善职业技术学院,105.6415673,38.83438501
内蒙古美术职业学院,107.4569556,40.71621552
内蒙古民族幼儿师范高等专科学校,109.901976,39.81447704
鄂尔多斯生态环境职业学院,109.8223741,39.62440968
扎兰屯职业学院,122.7275307,48.00940646
赤峰应用技术职业学院,118.8738428,42.28759222
辽宁大学,123.4002099,41.83082107
大连理工大学,121.5239721,38.87939059
沈阳工业大学,123.24338,41.7338081
沈阳航空航天大学,123.402102,41.92370537
沈阳理工大学,123.4884561,41.72474799
东北大学,123.411705,41.76289765
辽宁科技大学,123.0549231,41.1019426
辽宁工程技术大学,121.65863,42.02148222
辽宁石油化工大学,123.7856542,41.85572872
沈阳化工大学,123.2287232,41.74465989
大连交通大学,121.1584366,38.79339374
大连海事大学,121.5271325,38.87035812
大连工业大学,121.5226338,38.97253204
沈阳建筑大学,123.5102172,41.7412549
辽宁工业大学,121.1174117,41.14239208
沈阳农业大学,123.5640191,41.82464645
大连海洋大学,122.0192925,39.6236897
中国医科大学,123.4027436,41.78859213
锦州医科大学,121.1373279,41.14749893
大连医科大学,121.3097112,38.80285377
辽宁中医药大学,123.4284876,41.82917621
沈阳药科大学,123.438615,41.7657919
沈阳医学院,123.4022692,41.88651413
辽宁师范大学,121.5588798,38.91713385
沈阳师范大学,123.4094757,41.90618944
渤海大学,121.1110488,41.08495901
鞍山师范学院,122.9903356,41.07460759
大连外国语大学,121.3030219,38.81232648
东北财经大学,121.5465289,38.87742031
中国刑事警察学院,123.3755715,41.84131801
沈阳体育学院,123.7076757,41.57847567
沈阳音乐学院,123.528227,41.65250983
鲁迅美术学院,123.4645308,41.6598788
辽宁对外经贸学院,121.151013,38.81876423
